"Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Penalty Date","Penalty Type","Fine Amount","Payment Denial Start Date","Payment Denial Length in Days","Location","Processing Date"
"675141","CRESTVIEW HEALTHCARE RESIDENCE","1400 LAKE SHORE DR","WACO","TX","76708","2019-11-15","Payment Denial",,"2019-12-18","2","1400 LAKE SHORE DR,WACO,TX,76708","2020-11-01"
"675142","BRIARCLIFF HEALTH CENTER","3403 S VINE AVE","TYLER","TX","75701","2018-04-20","Payment Denial",,"2018-07-20","20","3403 S VINE AVE,TYLER,TX,75701","2020-11-01"
"675142","BRIARCLIFF HEALTH CENTER","3403 S VINE AVE","TYLER","TX","75701","2019-08-29","Fine","8262",,,"3403 S VINE AVE,TYLER,TX,75701","2020-11-01"
"675145","BUENA VIDA NURSING AND REHAB ODESSA","3800 ENGLEWOOD LN","ODESSA","TX","79762","2017-12-22","Fine","13627",,,"3800 ENGLEWOOD LN,ODESSA,TX,79762","2020-11-01"
"675145","BUENA VIDA NURSING AND REHAB ODESSA","3800 ENGLEWOOD LN","ODESSA","TX","79762","2017-12-22","Payment Denial",,"2018-01-25","6","3800 ENGLEWOOD LN,ODESSA,TX,79762","2020-11-01"
"675145","BUENA VIDA NURSING AND REHAB ODESSA","3800 ENGLEWOOD LN","ODESSA","TX","79762","2019-09-26","Fine","8096",,,"3800 ENGLEWOOD LN,ODESSA,TX,79762","2020-11-01"
"675151","MEADOWBROOK CARE CENTER","632 WINDSOR WAY","VAN ALSTYNE","TX","75495","2019-09-12","Fine","12906",,,"632 WINDSOR WAY,VAN ALSTYNE,TX,75495","2020-11-01"
"675201","HILLSIDE MEDICAL LODGE","300 S. HIGHWAY 36 BYPASS","GATESVILLE","TX","76528","2019-02-08","Fine","13905",,,"300 S. HIGHWAY 36 BYPASS,GATESVILLE,TX,76528","2020-11-01"
"675210","HERITAGE HOUSE NURSING AND REHABILITATION","407 N COLLEGE ST","ROSEBUD","TX","76570","2019-04-24","Fine","7296",,,"407 N COLLEGE ST,ROSEBUD,TX,76570","2020-11-01"
"675214","THE RESORT AT TEXAS CITY","1720 N LOGAN ST","TEXAS CITY","TX","77590","2020-01-03","Fine","7963",,,"1720 N LOGAN ST,TEXAS CITY,TX,77590","2020-11-01"
"675220","AVALON PLACE KIRBYVILLE","700 N HERNDON","KIRBYVILLE","TX","75956","2018-07-25","Fine","7023",,,"700 N HERNDON,KIRBYVILLE,TX,75956","2020-11-01"
"675220","AVALON PLACE KIRBYVILLE","700 N HERNDON","KIRBYVILLE","TX","75956","2019-04-24","Fine","7963",,,"700 N HERNDON,KIRBYVILLE,TX,75956","2020-11-01"
"675220","AVALON PLACE KIRBYVILLE","700 N HERNDON","KIRBYVILLE","TX","75956","2019-04-24","Payment Denial",,"2019-05-22","15","700 N HERNDON,KIRBYVILLE,TX,75956","2020-11-01"
"675226","STEVENS NURSING AND REHABILITATION CENTER OF HALLE","106 KAHN ST","HALLETTSVILLE","TX","77964","2018-08-08","Fine","19481",,,"106 KAHN ST,HALLETTSVILLE,TX,77964","2020-11-01"
"675231","JACINTO NURSING & REHABILITATION CENTER, LLC","1405 HOLLAND","HOUSTON","TX","77029","2018-04-06","Fine","13627",,,"1405 HOLLAND,HOUSTON,TX,77029","2020-11-01"
"675240","THE SPRINGS","704 N TAYLOR RD","HUGHES SPRINGS","TX","75656","2018-07-05","Fine","8648",,,"704 N TAYLOR RD,HUGHES SPRINGS,TX,75656","2020-11-01"
"675241","MAGNOLIA PLACE","1307 MARTIN LUTHER KING DR","JEFFERSON","TX","75657","2018-06-07","Fine","26792",,,"1307 MARTIN LUTHER KING DR,JEFFERSON,TX,75657","2020-11-01"
"675241","MAGNOLIA PLACE","1307 MARTIN LUTHER KING DR","JEFFERSON","TX","75657","2018-12-20","Fine","14533",,,"1307 MARTIN LUTHER KING DR,JEFFERSON,TX,75657","2020-11-01"
"675259","CISCO NURSING & REHABILITATION","1404 FRONT ST","CISCO","TX","76437","2018-05-10","Fine","73829",,,"1404 FRONT ST,CISCO,TX,76437","2020-11-01"
"675259","CISCO NURSING & REHABILITATION","1404 FRONT ST","CISCO","TX","76437","2018-05-10","Payment Denial",,"2018-06-08","5","1404 FRONT ST,CISCO,TX,76437","2020-11-01"
"675259","CISCO NURSING & REHABILITATION","1404 FRONT ST","CISCO","TX","76437","2018-11-09","Fine","10273",,,"1404 FRONT ST,CISCO,TX,76437","2020-11-01"
"675264","ATHENS HEALTHCARE AND REHABILITATION CENTER","305 S PALESTINE ST","ATHENS","TX","75751","2018-04-13","Fine","24610",,,"305 S PALESTINE ST,ATHENS,TX,75751","2020-11-01"
"675267","GREENBRIER NURSING & REHABILITATION CENTER OF TYLE","3526 W ERWIN ST","TYLER","TX","75702","2018-09-18","Fine","8648",,,"3526 W ERWIN ST,TYLER,TX,75702","2020-11-01"
"675277","CARE INN OF LA GRANGE","457 N MAIN ST","LA GRANGE","TX","78945","2019-08-05","Payment Denial",,"2019-08-31","12","457 N MAIN ST,LA GRANGE,TX,78945","2020-11-01"
"675281","COTTONWOOD CREEK HEALTHCARE COMMUNITY","1111 W SHORE DR","RICHARDSON","TX","75080","2019-04-25","Fine","50219",,,"1111 W SHORE DR,RICHARDSON,TX,75080","2020-11-01"
"675281","COTTONWOOD CREEK HEALTHCARE COMMUNITY","1111 W SHORE DR","RICHARDSON","TX","75080","2019-04-25","Payment Denial",,"2019-06-19","9","1111 W SHORE DR,RICHARDSON,TX,75080","2020-11-01"
"675281","COTTONWOOD CREEK HEALTHCARE COMMUNITY","1111 W SHORE DR","RICHARDSON","TX","75080","2019-12-18","Payment Denial",,"2020-03-18","5","1111 W SHORE DR,RICHARDSON,TX,75080","2020-11-01"
"675289","PINECREST NURSING & REHABILITATION CENTER","3505 OLD JACKSONVILLE RD","TYLER","TX","75701","2018-02-07","Fine","2496",,,"3505 OLD JACKSONVILLE RD,TYLER,TX,75701","2020-11-01"
"675295","LYTLE NURSING HOME","15366 OAK ST","LYTLE","TX","78052","2018-04-05","Fine","33737",,,"15366 OAK ST,LYTLE,TX,78052","2020-11-01"
"675307","THE MANOR HEALTHCARE RESIDENCE","831 TEHUACANA HWY","MEXIA","TX","76667","2019-10-18","Fine","11616",,,"831 TEHUACANA HWY,MEXIA,TX,76667","2020-11-01"
"675317","DEERINGS NURSING AND REHABILITATION LP","1020 N COUNTY RD WEST","ODESSA","TX","79763","2019-03-15","Fine","235139",,,"1020 N COUNTY RD WEST,ODESSA,TX,79763","2020-11-01"
"675317","DEERINGS NURSING AND REHABILITATION LP","1020 N COUNTY RD WEST","ODESSA","TX","79763","2019-03-15","Payment Denial",,"2019-04-13","21","1020 N COUNTY RD WEST,ODESSA,TX,79763","2020-11-01"
"675323","BAYWIND VILLAGE SKILLED NURSING & REHAB","411 ALABAMA AVE","LEAGUE CITY","TX","77573","2019-02-22","Fine","21393",,,"411 ALABAMA AVE,LEAGUE CITY,TX,77573","2020-11-01"
"675330","THE OAKS AT RADFORD HILLS HEALTHCARE CENTER","725 MEDICAL DR","ABILENE","TX","79601","2018-04-17","Fine","68913",,,"725 MEDICAL DR,ABILENE,TX,79601","2020-11-01"
"675330","THE OAKS AT RADFORD HILLS HEALTHCARE CENTER","725 MEDICAL DR","ABILENE","TX","79601","2018-09-13","Fine","13627",,,"725 MEDICAL DR,ABILENE,TX,79601","2020-11-01"
"675346","HERITAGE OAKS NURSING AND REHABILITATION CENTER","5301 UNIVERSITY AVE","LUBBOCK","TX","79413","2018-06-24","Fine","13627",,,"5301 UNIVERSITY AVE,LUBBOCK,TX,79413","2020-11-01"
"675346","HERITAGE OAKS NURSING AND REHABILITATION CENTER","5301 UNIVERSITY AVE","LUBBOCK","TX","79413","2018-06-24","Payment Denial",,"2018-07-25","6","5301 UNIVERSITY AVE,LUBBOCK,TX,79413","2020-11-01"
"675350","WILLOW SPRINGS HEALTH & REHABILITATION CENTER","4934 S 7TH ST","ABILENE","TX","79605","2019-04-09","Fine","7296",,,"4934 S 7TH ST,ABILENE,TX,79605","2020-11-01"
"675352","BRENTWOOD PLACE THREE","3505 S BUCKNER BLVD BLDG 4","DALLAS","TX","75227","2019-01-31","Fine","7023",,,"3505 S BUCKNER BLVD BLDG 4,DALLAS,TX,75227","2020-11-01"
"675356","BASTROP NURSING CENTER","400 OLD AUSTIN HWY","BASTROP","TX","78602","2019-08-13","Fine","13905",,,"400 OLD AUSTIN HWY,BASTROP,TX,78602","2020-11-01"
"675361","WHARTON NURSING AND REHABILITATION CENTER","1220 SUNNY LANE","WHARTON","TX","77488","2018-06-05","Fine","15925",,,"1220 SUNNY LANE,WHARTON,TX,77488","2020-11-01"
"675361","WHARTON NURSING AND REHABILITATION CENTER","1220 SUNNY LANE","WHARTON","TX","77488","2018-12-20","Fine","10000",,,"1220 SUNNY LANE,WHARTON,TX,77488","2020-11-01"
"675361","WHARTON NURSING AND REHABILITATION CENTER","1220 SUNNY LANE","WHARTON","TX","77488","2018-12-20","Payment Denial",,"2019-01-25","35","1220 SUNNY LANE,WHARTON,TX,77488","2020-11-01"
"675361","WHARTON NURSING AND REHABILITATION CENTER","1220 SUNNY LANE","WHARTON","TX","77488","2019-06-27","Fine","12942",,,"1220 SUNNY LANE,WHARTON,TX,77488","2020-11-01"
"675361","WHARTON NURSING AND REHABILITATION CENTER","1220 SUNNY LANE","WHARTON","TX","77488","2019-06-27","Payment Denial",,"2019-07-30","9","1220 SUNNY LANE,WHARTON,TX,77488","2020-11-01"
"675365","PASADENA CARE CENTER","4006 VISTA RD","PASADENA","TX","77504","2018-09-04","Fine","10628",,,"4006 VISTA RD,PASADENA,TX,77504","2020-11-01"
"675365","PASADENA CARE CENTER","4006 VISTA RD","PASADENA","TX","77504","2018-12-13","Fine","25505",,,"4006 VISTA RD,PASADENA,TX,77504","2020-11-01"
"675365","PASADENA CARE CENTER","4006 VISTA RD","PASADENA","TX","77504","2018-12-13","Payment Denial",,"2019-01-18","8","4006 VISTA RD,PASADENA,TX,77504","2020-11-01"
"675365","PASADENA CARE CENTER","4006 VISTA RD","PASADENA","TX","77504","2019-09-19","Payment Denial",,"2019-10-26","19","4006 VISTA RD,PASADENA,TX,77504","2020-11-01"
"675367","GREENVILLE GARDENS","3500 PARK ST","GREENVILLE","TX","75401","2019-03-15","Payment Denial",,"2019-04-13","30","3500 PARK ST,GREENVILLE,TX,75401","2020-11-01"
"675367","GREENVILLE GARDENS","3500 PARK ST","GREENVILLE","TX","75401","2020-02-11","Payment Denial",,"2020-03-11","2","3500 PARK ST,GREENVILLE,TX,75401","2020-11-01"
"675379","HAVENCARE NURSING AND REHABILITATION CENTER LLC","111 RUTHLYNN DR","LONGVIEW","TX","75601","2018-02-23","Fine","7543",,,"111 RUTHLYNN DR,LONGVIEW,TX,75601","2020-11-01"
"675379","HAVENCARE NURSING AND REHABILITATION CENTER LLC","111 RUTHLYNN DR","LONGVIEW","TX","75601","2018-04-05","Fine","10273",,,"111 RUTHLYNN DR,LONGVIEW,TX,75601","2020-11-01"
"675386","WHISPERING PINES LODGE","2131 ALPINE RD","LONGVIEW","TX","75601","2018-05-18","Fine","13627",,,"2131 ALPINE RD,LONGVIEW,TX,75601","2020-11-01"
"675386","WHISPERING PINES LODGE","2131 ALPINE RD","LONGVIEW","TX","75601","2018-10-19","Fine","9407",,,"2131 ALPINE RD,LONGVIEW,TX,75601","2020-11-01"
"675386","WHISPERING PINES LODGE","2131 ALPINE RD","LONGVIEW","TX","75601","2019-05-30","Fine","13905",,,"2131 ALPINE RD,LONGVIEW,TX,75601","2020-11-01"
"675396","RETAMA MANOR/LAREDO SOUTH","1100 GALVESTON","LAREDO","TX","78040","2018-03-11","Fine","57337",,,"1100 GALVESTON,LAREDO,TX,78040","2020-11-01"
"675396","RETAMA MANOR/LAREDO SOUTH","1100 GALVESTON","LAREDO","TX","78040","2018-03-11","Payment Denial",,"2018-04-07","3","1100 GALVESTON,LAREDO,TX,78040","2020-11-01"
"675398","FOCUSED CARE OF CENTER","501 TIMPSON","CENTER","TX","75935","2018-08-23","Fine","16145",,,"501 TIMPSON,CENTER,TX,75935","2020-11-01"
"675399","NAVASOTA NURSING AND REHABILITATION LP","1405 E WASHINGTON","NAVASOTA","TX","77868","2019-04-09","Fine","176579",,,"1405 E WASHINGTON,NAVASOTA,TX,77868","2020-11-01"
"675402","ROCKWALL NURSING CARE CENTER","206 STORRS","ROCKWALL","TX","75087","2018-09-15","Fine","22725",,,"206 STORRS,ROCKWALL,TX,75087","2020-11-01"
"675408","OVERTON HEALTHCARE CENTER","1110 HWY 135 S","OVERTON","TX","75684","2018-09-25","Fine","5085",,,"1110 HWY 135 S,OVERTON,TX,75684","2020-11-01"
"675408","OVERTON HEALTHCARE CENTER","1110 HWY 135 S","OVERTON","TX","75684","2019-04-04","Fine","11512",,,"1110 HWY 135 S,OVERTON,TX,75684","2020-11-01"
"675423","ASHFORD GARDENS","7210 NORTHLINE DR","HOUSTON","TX","77076","2019-01-17","Fine","87793",,,"7210 NORTHLINE DR,HOUSTON,TX,77076","2020-11-01"
"675433","FOCUSED CARE AT HUNTSVILLE","1302 NOTTINGHAM ST","HUNTSVILLE","TX","77340","2017-12-04","Fine","44294",,,"1302 NOTTINGHAM ST,HUNTSVILLE,TX,77340","2020-11-01"
"675438","LAKE SHORE VILLAGE HEALTHCARE CENTER","2320 LAKE SHORE DR","WACO","TX","76708","2019-01-28","Fine","7023",,,"2320 LAKE SHORE DR,WACO,TX,76708","2020-11-01"
"675440","SOUTH DALLAS NURSING & REHABILITATION","3808 S CENTRAL EXPWY","DALLAS","TX","75215","2018-12-05","Fine","8128",,,"3808 S CENTRAL EXPWY,DALLAS,TX,75215","2020-11-01"
"675453","COLLINWOOD CARE CENTER","3100 S RIGSBEE RD","PLANO","TX","75074","2019-09-14","Payment Denial",,"2019-10-12","13","3100 S RIGSBEE RD,PLANO,TX,75074","2020-11-01"
"675454","WEST OAKS NURSING & REHAB CENTER","3625 GREEN CREST","HOUSTON","TX","77082","2019-04-18","Fine","7287",,,"3625 GREEN CREST,HOUSTON,TX,77082","2020-11-01"
"675459","AUSTIN HEALTHCARE AND REHABILITATION CENTER","3509 ROGGE LN","AUSTIN","TX","78723","2018-06-18","Payment Denial",,"2018-09-18","3","3509 ROGGE LN,AUSTIN,TX,78723","2020-11-01"
"675459","AUSTIN HEALTHCARE AND REHABILITATION CENTER","3509 ROGGE LN","AUSTIN","TX","78723","2019-11-01","Fine","10205",,,"3509 ROGGE LN,AUSTIN,TX,78723","2020-11-01"
"675471","BONHAM NURSING AND REHABILITATION LP","709 W FIFTH ST","BONHAM","TX","75418","2019-09-12","Fine","7157",,,"709 W FIFTH ST,BONHAM,TX,75418","2020-11-01"
"675478","PRAIRIE HOUSE LIVING CENTER","1301 MESA DR","PLAINVIEW","TX","79072","2018-06-28","Fine","9750",,,"1301 MESA DR,PLAINVIEW,TX,79072","2020-11-01"
"675493","HIGHLAND PARK CARE CENTER","8861 FULTON ST","HOUSTON","TX","77022","2018-07-19","Fine","7023",,,"8861 FULTON ST,HOUSTON,TX,77022","2020-11-01"
"675493","HIGHLAND PARK CARE CENTER","8861 FULTON ST","HOUSTON","TX","77022","2019-01-18","Fine","12010",,,"8861 FULTON ST,HOUSTON,TX,77022","2020-11-01"
"675493","HIGHLAND PARK CARE CENTER","8861 FULTON ST","HOUSTON","TX","77022","2020-01-31","Fine","23000",,,"8861 FULTON ST,HOUSTON,TX,77022","2020-11-01"
"675494","LONE STAR RANCH REHABILITATION AND HEALTHCARE CENT","316 GENERAL CAVAZOS BLVD","KINGSVILLE","TX","78363","2018-04-28","Fine","8775",,,"316 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363","2020-11-01"
"675494","LONE STAR RANCH REHABILITATION AND HEALTHCARE CENT","316 GENERAL CAVAZOS BLVD","KINGSVILLE","TX","78363","2018-04-28","Payment Denial",,"2018-05-26","17","316 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363","2020-11-01"
"675494","LONE STAR RANCH REHABILITATION AND HEALTHCARE CENT","316 GENERAL CAVAZOS BLVD","KINGSVILLE","TX","78363","2018-09-19","Fine","12678",,,"316 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363","2020-11-01"
"675494","LONE STAR RANCH REHABILITATION AND HEALTHCARE CENT","316 GENERAL CAVAZOS BLVD","KINGSVILLE","TX","78363","2019-03-29","Fine","7296",,,"316 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363","2020-11-01"
"675498","HILLSIDE HEIGHTS REHABILITATION SUITES","6650 SOUTH SONCY ROAD","AMARILLO","TX","79119","2019-08-21","Fine","13905",,,"6650 SOUTH SONCY ROAD,AMARILLO,TX,79119","2020-11-01"
"675527","WHISPERWOOD NURSING & REHABILITATION CENTER","5502 W 4TH ST","LUBBOCK","TX","79416","2019-08-08","Fine","7157",,,"5502 W 4TH ST,LUBBOCK,TX,79416","2020-11-01"
"675533","BROOKDALE SPICEWOOD SPRINGS","4401 SPICEWOOD SPRINGS RD","AUSTIN","TX","78759","2019-02-08","Fine","229843",,,"4401 SPICEWOOD SPRINGS RD,AUSTIN,TX,78759","2020-11-01"
"675537","BROWNWOOD NURSING AND REHABILITATION LP","101 MILLER DR","BROWNWOOD","TX","76801","2018-05-03","Fine","13627",,,"101 MILLER DR,BROWNWOOD,TX,76801","2020-11-01"
"675541","SENIOR REHABILITATION & SKILLED NURSING CENTER","8825 LAMPLIGHTER LN","PORT ARTHUR","TX","77642","2019-08-13","Payment Denial",,"2019-09-11","23","8825 LAMPLIGHTER LN,PORT ARTHUR,TX,77642","2020-11-01"
"675550","PECAN TREE REHAB AND HEALTHCARE CENTER","1900 E CALIFORNIA ST","GAINESVILLE","TX","76240","2019-04-25","Payment Denial",,"2019-06-01","9","1900 E CALIFORNIA ST,GAINESVILLE,TX,76240","2020-11-01"
"675553","HERITAGE HOUSE HEALTH CARE CENTRE","1026 E GOODE ST","QUITMAN","TX","75783","2019-01-08","Fine","118515",,,"1026 E GOODE ST,QUITMAN,TX,75783","2020-11-01"
"675556","CYPRESS WOODS CARE CENTER","135 1/2 HOSPITAL DR","ANGLETON","TX","77515","2018-08-15","Fine","7150",,,"135 1/2 HOSPITAL DR,ANGLETON,TX,77515","2020-11-01"
"675556","CYPRESS WOODS CARE CENTER","135 1/2 HOSPITAL DR","ANGLETON","TX","77515","2019-06-12","Fine","89661",,,"135 1/2 HOSPITAL DR,ANGLETON,TX,77515","2020-11-01"
"675556","CYPRESS WOODS CARE CENTER","135 1/2 HOSPITAL DR","ANGLETON","TX","77515","2019-06-12","Payment Denial",,"2019-07-10","67","135 1/2 HOSPITAL DR,ANGLETON,TX,77515","2020-11-01"
"675563","COLONIAL NURSING & REHABILITATION CENTER","508 PIERCE ST","LINDALE","TX","75771","2017-12-01","Fine","24751",,,"508 PIERCE ST,LINDALE,TX,75771","2020-11-01"
"675563","COLONIAL NURSING & REHABILITATION CENTER","508 PIERCE ST","LINDALE","TX","75771","2017-12-01","Payment Denial",,"2017-12-28","2","508 PIERCE ST,LINDALE,TX,75771","2020-11-01"
"675563","COLONIAL NURSING & REHABILITATION CENTER","508 PIERCE ST","LINDALE","TX","75771","2019-10-04","Fine","11512",,,"508 PIERCE ST,LINDALE,TX,75771","2020-11-01"
"675565","PARKWOOD HEALTHCARE COMMUNITY","2600 PARKVIEW DR","BEDFORD","TX","76022","2017-11-30","Fine","95843",,,"2600 PARKVIEW DR,BEDFORD,TX,76022","2020-11-01"
"675568","OASIS NURSING & REHABILITATION CENTER","9001 N LOOP","EL PASO","TX","79907","2017-11-16","Fine","18097",,,"9001 N LOOP,EL PASO,TX,79907","2020-11-01"
"675595","SPRING CREEK NURSING AND REHABILITATION LP","2660 BRICKYARD RD","BEAUMONT","TX","77703","2018-01-25","Fine","31051",,,"2660 BRICKYARD RD,BEAUMONT,TX,77703","2020-11-01"
"675597","CRESTWOOD HEALTH AND REHABILITATION CENTER","1448 HOUSTON ST","WILLS POINT","TX","75169","2018-04-19","Fine","22073",,,"1448 HOUSTON ST,WILLS POINT,TX,75169","2020-11-01"
"675599","ROBERT LEE CARE CENTER","307 WEST 8TH ST","ROBERT LEE","TX","76945","2018-08-31","Payment Denial",,"2018-10-02","11","307 WEST 8TH ST,ROBERT LEE,TX,76945","2020-11-01"
"675602","FOCUSED CARE OF GILMER","623 HWY 155N","GILMER","TX","75644","2018-04-05","Fine","20915",,,"623 HWY 155N,GILMER,TX,75644","2020-11-01"
"675602","FOCUSED CARE OF GILMER","623 HWY 155N","GILMER","TX","75644","2019-01-18","Fine","39946",,,"623 HWY 155N,GILMER,TX,75644","2020-11-01"
"675602","FOCUSED CARE OF GILMER","623 HWY 155N","GILMER","TX","75644","2019-01-18","Payment Denial",,"2019-02-16","7","623 HWY 155N,GILMER,TX,75644","2020-11-01"
"675603","ROSE HAVEN RETREAT","200 LIVE OAK ST","ATLANTA","TX","75551","2019-04-23","Fine","16416",,,"200 LIVE OAK ST,ATLANTA,TX,75551","2020-11-01"
"675612","THE WESTBURY PLACE","5201 S WILLOW DR","HOUSTON","TX","77035","2019-01-31","Payment Denial",,"2019-03-01","22","5201 S WILLOW DR,HOUSTON,TX,77035","2020-11-01"
"675612","THE WESTBURY PLACE","5201 S WILLOW DR","HOUSTON","TX","77035","2019-05-24","Fine","33852",,,"5201 S WILLOW DR,HOUSTON,TX,77035","2020-11-01"
"675612","THE WESTBURY PLACE","5201 S WILLOW DR","HOUSTON","TX","77035","2019-07-12","Fine","9050",,,"5201 S WILLOW DR,HOUSTON,TX,77035","2020-11-01"
"675612","THE WESTBURY PLACE","5201 S WILLOW DR","HOUSTON","TX","77035","2019-07-12","Payment Denial",,"2019-08-10","20","5201 S WILLOW DR,HOUSTON,TX,77035","2020-11-01"
"675614","BALLINGER HEALTHCARE AND REHABILITATION CENTER","2001 6TH ST","BALLINGER","TX","76821","2017-11-18","Fine","25487",,,"2001 6TH ST,BALLINGER,TX,76821","2020-11-01"
"675615","MERIDIAN CARE AT GRAYSON SQUARE","815  E  GRAYSON  ST","SAN ANTONIO","TX","78208","2017-11-20","Fine","102021",,,"815  E  GRAYSON  ST,SAN ANTONIO,TX,78208","2020-11-01"
"675615","MERIDIAN CARE AT GRAYSON SQUARE","815  E  GRAYSON  ST","SAN ANTONIO","TX","78208","2018-12-12","Fine","11517",,,"815  E  GRAYSON  ST,SAN ANTONIO,TX,78208","2020-11-01"
"675622","CITYVIEW NURSING AND REHABILITATION CENTER","5801 BRYANT IRVIN RD","FORT WORTH","TX","76132","2018-10-26","Payment Denial",,"2018-11-24","27","5801 BRYANT IRVIN RD,FORT WORTH,TX,76132","2020-11-01"
"675630","FALFURRIAS NURSING AND REHABILITATION LP","1301 S TERRELL ST","FALFURRIAS","TX","78355","2018-06-22","Fine","107666",,,"1301 S TERRELL ST,FALFURRIAS,TX,78355","2020-11-01"
"675630","FALFURRIAS NURSING AND REHABILITATION LP","1301 S TERRELL ST","FALFURRIAS","TX","78355","2018-06-22","Payment Denial",,"2018-07-25","72","1301 S TERRELL ST,FALFURRIAS,TX,78355","2020-11-01"
"675646","SNYDER OAKS CARE CENTER","210 E 37TH ST","SNYDER","TX","79549","2018-06-11","Fine","105176",,,"210 E 37TH ST,SNYDER,TX,79549","2020-11-01"
"675646","SNYDER OAKS CARE CENTER","210 E 37TH ST","SNYDER","TX","79549","2018-06-11","Payment Denial",,"2018-07-11","6","210 E 37TH ST,SNYDER,TX,79549","2020-11-01"
"675650","GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE","7500 OAKMONT BLVD","FORT WORTH","TX","76132","2019-02-23","Fine","77709",,,"7500 OAKMONT BLVD,FORT WORTH,TX,76132","2020-11-01"
"675668","WOOD MEMORIAL NURSING AND REHABILITATION CENTER","320 GREENVILLE HIGHWAY","MINEOLA","TX","75773","2018-05-03","Fine","41440",,,"320 GREENVILLE HIGHWAY,MINEOLA,TX,75773","2020-11-01"
"675670","FOCUSED CARE AT CORPUS","801 CANTWELL LN","CORPUS CHRISTI","TX","78408","2018-03-01","Fine","21450",,,"801 CANTWELL LN,CORPUS CHRISTI,TX,78408","2020-11-01"
"675670","FOCUSED CARE AT CORPUS","801 CANTWELL LN","CORPUS CHRISTI","TX","78408","2018-03-01","Payment Denial",,"2018-03-31","46","801 CANTWELL LN,CORPUS CHRISTI,TX,78408","2020-11-01"
"675670","FOCUSED CARE AT CORPUS","801 CANTWELL LN","CORPUS CHRISTI","TX","78408","2019-02-14","Fine","78849",,,"801 CANTWELL LN,CORPUS CHRISTI,TX,78408","2020-11-01"
"675680","BRENTWOOD PLACE ONE","3505 S BUCKNER BLVD BLDG 2","DALLAS","TX","75227","2018-09-17","Fine","14024",,,"3505 S BUCKNER BLVD BLDG 2,DALLAS,TX,75227","2020-11-01"
"675687","HOLIDAY HILL INC","245 STATE HWY #153 WEST","COLEMAN","TX","76834","2019-02-05","Fine","11941",,,"245 STATE HWY #153 WEST,COLEMAN,TX,76834","2020-11-01"
"675691","HUNTSVILLE HEALTH CARE CENTER","2628 MILAM","HUNTSVILLE","TX","77340","2019-01-03","Fine","10644",,,"2628 MILAM,HUNTSVILLE,TX,77340","2020-11-01"
"675700","BROOKSHIRE RESIDENCE AND REHABILITATION CENTER","710 HWY 359 S","BROOKSHIRE","TX","77423","2019-07-23","Fine","17552",,,"710 HWY 359 S,BROOKSHIRE,TX,77423","2020-11-01"
"675700","BROOKSHIRE RESIDENCE AND REHABILITATION CENTER","710 HWY 359 S","BROOKSHIRE","TX","77423","2019-07-23","Payment Denial",,"2019-08-21","119","710 HWY 359 S,BROOKSHIRE,TX,77423","2020-11-01"
"675701","LAWRENCE STREET HEALTH CARE CENTER","615 LAWRENCE ST","TOMBALL","TX","77375","2018-05-21","Fine","9428",,,"615 LAWRENCE ST,TOMBALL,TX,77375","2020-11-01"
"675701","LAWRENCE STREET HEALTH CARE CENTER","615 LAWRENCE ST","TOMBALL","TX","77375","2019-02-06","Fine","7995",,,"615 LAWRENCE ST,TOMBALL,TX,77375","2020-11-01"
"675701","LAWRENCE STREET HEALTH CARE CENTER","615 LAWRENCE ST","TOMBALL","TX","77375","2019-03-28","Fine","33020",,,"615 LAWRENCE ST,TOMBALL,TX,77375","2020-11-01"
"675722","FORT STOCKTON LIVING & REHABILITATION","501 N SYCAMORE","FORT STOCKTON","TX","79735","2018-09-14","Fine","21429",,,"501 N SYCAMORE,FORT STOCKTON,TX,79735","2020-11-01"
"675729","TWIN LAKES REHABILITATION AND CARE CENTER","451 S EL CAMINO CROSSING","SAN AUGUSTINE","TX","75972","2019-08-15","Fine","11512",,,"451 S EL CAMINO CROSSING,SAN AUGUSTINE,TX,75972","2020-11-01"
"675729","TWIN LAKES REHABILITATION AND CARE CENTER","451 S EL CAMINO CROSSING","SAN AUGUSTINE","TX","75972","2019-08-15","Payment Denial",,"2019-09-14","1","451 S EL CAMINO CROSSING,SAN AUGUSTINE,TX,75972","2020-11-01"
"675743","THE PHOENIX POST-ACUTE","519 NINTH AVE N","TEXAS CITY","TX","77590","2018-07-15","Fine","27278",,,"519 NINTH AVE N,TEXAS CITY,TX,77590","2020-11-01"
"675746","CORONADO NURSING CENTER","1751 N 15TH ST","ABILENE","TX","79603","2019-12-19","Fine","40073",,,"1751 N 15TH ST,ABILENE,TX,79603","2020-11-01"
"675748","HERITAGE TRAILS NURSING AND REHABILITATION CENTER","301 LINCOLN PARK DR","CLEBURNE","TX","76033","2018-06-21","Fine","13523",,,"301 LINCOLN PARK DR,CLEBURNE,TX,76033","2020-11-01"
